#NAME, DESC, UNIT
RA, Right Ascension,
DEC, Declination,
TARGETID, Unique DESI target ID,
DESI_TARGET, Dark survey + calibration targeting bits,
BGS_TARGET, Bright Galaxy Survey targeting bits,
MWS_TARGET, Milky Way Survey targeting bits,
SUBPRIORITY, Random subpriority [0-1] to break assignment ties,
PRIORITY_INIT, Target initial priority from target selection bitmasks and OBSCONDITIONS,
TARGET_STATE, Combination of target class and its current observational state,
TIMESTAMP, UTC/ISO time at which the target state was updated,
ZWARN_MTL, The ZWARN from the zmtl file (contains extra bits),
PRIORITY, Target current priority,
FIBER, Fiber ID on the CCDs [0-4999],
LOCATION, Location on the focal plane PETAL_LOC*1000 + DEVICE_LOC,
TILEID, Unique DESI tile ID,
FIBERSTATUS, Fiber status mask. 0=good,
LAMBDA_REF, Wavelength at which targets should be centered on fibers,
PETAL_LOC, Petal location [0-9],
DEVICE_LOC, Device location on focal plane [0-523],
DEVICE_TYPE, Devide type,
TARGET_RA, Target right ascension,
TARGET_DEC, Target declination,
FA_TARGET, Targeting bit internally used by fiberassign (linked with FA_TYPE),
FA_TYPE, "Target type (science, standard, sky, safe, suppsky)",
FIBERASSIGN_X, Expected CS5 X location on focal plane,
FIBERASSIGN_Y, Expected CS5 Y location on focal plane,
OBSCONDITIONS, Bit-coded of allowed observing conditions,
NTILE, Number of tiles target was available on,
TILES, "TILEIDs of those tile, in string form separated by '-'",
TILELOCIDS, "TILELOCIDs that the target was available for, separated by '-'",
PLATE_RA, Right Ascension to be used by PlateMaker,
PLATE_DEC, Declination to be used by PlateMaker,
Z, Redshift measured by Redrock,
ZERR, Redshift error from redrock,
ZWARN, Redshift warning bitmask measured by Redrock,
SPECTYPE, Spectype from redrock file,
COADD_FIBERSTATUS, "",
MORPHTYPE, Imaging Surveys morphological type,
EBV, Galactic extinction E(B-V) reddening from SFD98,
FLUX_G, Flux in the Legacy Survey g-band (AB),
FLUX_R, Flux in the Legacy Survey r-band (AB),
FLUX_Z, Flux in the Legacy Survey z-band (AB),
FLUX_W1, WISE flux in W1 (AB),
FLUX_W2, WISE flux in W2 (AB),
FLUX_IVAR_G, Inverse variance of FLUX_G (AB),
FLUX_IVAR_R, Inverse variance of FLUX_R (AB),
FLUX_IVAR_Z, Inverse variance of FLUX_Z (AB),
FLUX_IVAR_W1, Inverse variance of FLUX_W1 (AB),
FLUX_IVAR_W2, Inverse variance of FLUX_W2 (AB),
MW_TRANSMISSION_G, Milky Way dust transmission in g-band,
MW_TRANSMISSION_R, Milky Way dust transmission in r-band,
MW_TRANSMISSION_Z, Milky Way dust transmission in z-band,
MW_TRANSMISSION_W1, Milky Way dust transmission in WISE W1,
MW_TRANSMISSION_W2, Milky Way dust transmission in WISE W2,
PROBA_RF, "",
MASKBITS, Bitwise mask from the imaging indicating potential issue or blending,
SCND_TARGET, Target selection bitmask for secondary programs,
COADD_NUMEXP, "",
COADD_EXPTIME, "",
CMX_TARGET, Target selection bitmask for commissioning,
SV1_DESI_TARGET, DESI (dark time program) target selection bitmask for SV1,
SV2_DESI_TARGET, DESI (dark time program) target selection bitmask for SV2,
SV3_DESI_TARGET, DESI (dark time program) target selection bitmask for SV3,
SV1_SCND_TARGET, Secondary target selection bitmask for SV1,
SV2_SCND_TARGET, Secondary target selection bitmask for SV2,
SV3_SCND_TARGET, Secondary target selection bitmask for SV3,
TSNR2_LYA, "LYA template (S/N)^2 summed over B,R,Z",
TSNR2_QSO, "QSO template (S/N)^2 summed over B,R,Z",
DELTA_CHI2_MGII, "",
A_MGII, "",
SIGMA_MGII,"", 
B_MGII, "",
VAR_A_MGII,"", 
VAR_SIGMA_MGII, "",
VAR_B_MGII, "",
Z_RR, Redshift collected from redrock file,
Z_QN, Redshift measured by QuasarNET,
C_LYA, Confidence line for LYA (*i.e.*) ~ probability to be a QSO,
C_CIV, Confidence line for CIV,
C_CIII, Confidence line for CIII,
C_MgII, Confidence line for MgII,
C_Hbeta, Confidence line for Hbeta,
C_Halpha, Confidence line for Halpha,
Z_LYA, Redshift estimated by QuasarNET with LYA line,
Z_CIV, Redshift estimated by QuasarNET with CIV line,
Z_CIII, Redshift estimated by QuasarNET with CIII line,
Z_MgII, Redshift estimated by QuasarNET with MgII line,
Z_Hbeta, Redshift estimated by QuasarNET with Hbeta line,
Z_Halpha, Redshift estimated by QuasarNET with Halpha line,
