Name,Type,Units,Description,FullDescription
ABSMAG01_SDSS_G,float32,mag,g-corrected (to z=0.1) absolute magnitude in the SDSS g band from fastspecfit,g-corrected (to z=0.1) absolute magnitude in the SDSS g band from fastspecfit
ABSMAG01_SDSS_R,float32,mag,r-corrected (to z=0.1) absolute magnitude in the SDSS r band from fastspecfit,r-corrected (to z=0.1) absolute magnitude in the SDSS r band from fastspecfit
ABSMAG_R,float64,mag,Absolute r-band magnitude after k-correction,Absolute magnitude in the r-band after k-correction
AIRMASS,float32,,Average airmass during this exposure,Average airmass during this exposure
AIRMASS_GFA,float64,,Average airmass during this exposure from GFA,Average airmass during this exposure as measured by GFA
APFLUX_G,float32,nanomaggy,Total g-band flux within a 0.75 arcsec radius,Total flux in nanomaggies extracted in a 0.75 arcsec radius in the g band at this location
APFLUX_IVAR_G,float32,nanomaggy^-2,Inverse variance of APFLUX_G,Inverse variance of APFLUX_G
APFLUX_IVAR_R,float32,nanomaggy^-2,Inverse variance of APFLUX_R,Inverse variance of APFLUX_R
APFLUX_IVAR_Z,float32,nanomaggy^-2,Inverse variance of APFLUX_Z,Inverse variance of APFLUX_Z
APFLUX_R,float32,nanomaggy,Total r-band flux within a 0.75 arcsec radius,Total flux in nanomaggies extracted in a 0.75 arcsec radius in the r band at this location
APFLUX_Z,float32,nanomaggy,Total z-band flux within a 0.75 arcsec radius,Total flux in nanomaggies extracted in a 0.75 arcsec radius in the z band at this location
A_MGII,float32,,Fitted parameter A (amplitude) by MgII fitter,Fitted parameter A (amplitude) by MgII fitter
BETA_MEAN,float32,,Mean value of the dust emissivity index posterior from Planck,Mean value of the dust emissivity index posterior from Planck (Planck Collaboration - A and A 594 2016 - A10)
BETA_ML,float32,,Maximum value of the dust emissivity index posterior from Planck,Maximum value of the dust emissivity index posterior from Planck (Planck Collaboration - A and A 594 2016 - A10)
BETA_RMS,float32,,Root mean square value of the dust emissivity index posterior from Planck,Root mean square value of the dust emissivity index posterior from Planck (Planck Collaboration - A and A 594 2016 - A10)
BGS_TARGET,int64,,BGS (Bright Galaxy Survey) target sel bitmask,BGS (Bright Galaxy Survey) target selection bitmask
BITWEIGHTS,int64[2],,Bitmask pair for alternative target assignment,A size of two 64 bit masks that encodes which of the alternative assignment histories that the target was assigned in
BLOBDIST,float32,pix,Max distance from a detected LS source,Maximum distance from a detected Legacy Surveys source
BRICKID,int32,,Brick ID from tractor input,Brick ID from tractor input
BRICKNAME,char[8],,Brick name from tractor input,Brick name from tractor input
BRICK_OBJID,int32,,Imaging Surveys OBJID on that brick,Imaging Surveys OBJID on that brick
B_MGII,float32,,Fitted parameter B (constant) by MgII fitter,Fitted parameter B (constant) by MgII fitter
CALIB_G,float32,,g-band systematic magnitude calibration residuals constructed by comparing LS stars to stars from Pan-STARRS1,g-band systematic magnitude calibration residuals constructed by comparing LS stars to stars from Pan-STARRS1 (details in Appendix A from DESI 2024 II paper)
CALIB_R,float32,,r-band systematic magnitude calibration residuals constructed by comparing LS stars to stars from Pan-STARRS1,r-band systematic magnitude calibration residuals constructed by comparing LS stars to stars from Pan-STARRS1 (details in Appendix A from DESI 2024 II paper)
CALIB_Z,float32,,z-band systematic magnitude calibration residuals constructed by comparing LS stars to stars from Pan-STARRS1,z-band systematic magnitude calibration residuals constructed by comparing LS stars to stars from Pan-STARRS1 (details in Appendix A from DESI 2024 II paper)
CAMERA,char[2],,Camera identifier [brz][0-9],Camera identifier. Passband and SPECGRPH ([brz][0-9]).
CHECKER,char[5],,Initials of researcher who vetted the target,Initials of researcher who vetted the target
CHI2,float64,,Best fit chi squared,Best fit chi squared
CMX_TARGET,int64,,Target selection bitmask for commissioning,Target selection bitmask for commissioning
COADD_EXPTIME,float32,s,Summed exposure time for coadd,Summed exposure time for coadd
COADD_FIBERSTATUS,int32,,bitwise-AND of input FIBERSTATUS,bitwise-AND of input FIBERSTATUS
COADD_NUMEXP,int16,,Number of exposures in coadd,Number of exposures in coadd
COADD_NUMNIGHT,int16,,Number of nights in coadd,Number of nights in coadd
COADD_NUMTILE,int16,,Number of tiles in coadd,Number of tiles in coadd
COEFF,float64[10],,Redrock template coefficients,Redrock template coefficients
COLLISION,bool,,Boolean for whether given potential assignment had a fiber collision with any keep-out zone,Boolean for whether given potential assignment had a fiber collision with any keep-out zone
COMP_TILE,float64,,Assignment completeness given the target class,Assignment completeness for all targets of this type with the same value for TILES
C_CIII,float32,,Confidence for CIII line,Confidence for CIII line
C_CIV,float32,,Confidence for CIV line,Confidence for CIV line
C_Halpha,float32,,Confidence for Halpha line,Confidence for Halpha line
C_Hbeta,float32,,Confidence for Hbeta line,Confidence for Hbeta line
C_LYA,float32,,Confidence that LyA line (probability for QSO),"Confidence for LyA line, i.e. ~probability to be a QSO"
C_MgII,float32,,Confidence for MgII line,Confidence for MgII line
DCHISQ,float32[5],,Difference in chi-squared between Tractor fits,Difference in chi-squared between Tractor model fits
DEC,float64,deg,Barycentric declination in ICRS,Barycentric declination in ICRS
DEC_IVAR,float32,deg^-2,"Inverse variance of DEC, excl astrom calib err","Inverse variance of DEC, excluding astrometric calibration errors"
DELTACHI2,float64,,chi2 diff b/w 1st and 2nd-best Redrock fits,chi2 difference between first- and second-best redrock template fits
DELTA_CHI2,float32,,chi2 diff b/w Redrock fit and MgII fitter,Difference of chi2 between redrock fit and MgII fitter over the lambda interval considered during the fit
DELTA_CHI2_MGII,float32,,chi2 diff b/w Redrock fit and MgII fitter,Difference of chi2 between redrock fit and MgII fitter over the lambda interval considered during the fit
DELTA_X,float64,mm,CS5 X requested minus actual position,CS5 X requested minus actual position
DELTA_Y,float64,mm,CS5 Y requested minus actual position,CS5 Y requested minus actual position
DESINAME,char[22],,"Name with truncated decimal TARGET_{RA,DEC}","Human readable identifier of a sky location DESI JXXX.XXXX[+/-]YY.YYYY, where X,Y=truncated decimal TARGET_RA, TARGET_DEC, precise to 0.36 arcsec. Multiple objects can map to a single DESINAME if very close on the sky."
